FID,Funding_Pool_Name,Funding_Pool_Closing_Date,Financial_Year,Organisation_Name,Project_Event_Title,Confirmed_umbrella_organisation__Account_Name,Where_will_it_take_place_,Where_will_it_take_place__1,Venue,Project_Start_Date,Project_End_Date,Event_start_date,Event_end_date,Target_age_group,Target_age_group_1,Target_Population,Other_Specific_Group,Active_participants,Attendees,Physical_access,Financial_access,Total_Project_Cost,Other_Income_Your_Contribution,Difference,Amount_requested,Granted_Total_Amount,Final_Decision,Status,Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10,Link_to_website_for_your_project_event
2182,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2016-02-28T12:00:00.000Z,2015,MIA Mujeres In Aotearoa Incorporated,"Danza MIA - workshops, rehearsals & performances",-,-,All of Wellington City,Toi Pōneke Arts Centre. The dance room has been booked for 2016 for training and rehearsals. Next year will be booked as soon as possible when Toi Pōneke opens registrations for 2017.,4/16/2016 12:00:00 AM,3/31/2017 12:00:00 AM,-,-,-,All,-,-,18,1000,-,-,3462,725,2737,2737,2737,Approved,Complete,To make the workshops and rehearsals affordable for participants,To attract more Latin American women of all ages to join the group,"To teach at least 18 Latin American migrants and refugees the tradition of costume-making and design, and to use the costumes in our performances in community events around Wellington",To successfully showcase three new dances in different community events to audiences of at least 1000 people in total.,To keep our dance tradition and costume-making tradition alive to pass on to future generations,-,-,-,-,-,https://www.facebook.com/DanzaMIAGroup/?ref=bookmarks
2183,Social And Recreation Fund,2015-03-22T12:00:00.000Z,2014,Newtown Community & Cultural Centre,Newtown Youth Programme,-,-,Newtown,-,5/4/2015 12:00:00 AM,5/1/2016 12:00:00 AM,3/12/2015 12:00:00 AM,3/12/2015 12:00:00 AM,-,Children,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; Free to all",89443.8,56125,33318.8,20000,8100,Approved,Complete,Providing a safe and fun environment where children find belonging - seen through our positive feedback from parents/children.,Providing accessible child-care at a small cost for low-income families.,Providing work opportunities and development for local young people in volunteer and paid employment roles,"Providing extra support and care for parents/caregivers and young people who require it due to being either 'at risk', intellectually challenged, socially/economically marginalised etc.",Providing more positive role models in local young people's lives.,-,-,-,-,-,-
2184,Our Living City Fund,2017-03-30T12:00:00.000Z,2016,Mt Cook Mobilised,Predator Free Mt Cook Newtown,Newtown Residents Association Inc,-,"Mt Cook; Newtown",-,4/24/2017 12:00:00 AM,12/31/2018 12:00:00 AM,3/13/2017 12:00:00 AM,3/13/2017 12:00:00 AM,-,All,Wider community,-,-,-,-,Free to all,4977,0,4977,4977,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,https://www.trap.nz/
2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,General Grants - Contract Funding,2016-04-14T12:00:00.000Z,2016,Newtown Community & Cultural Centre,Timebank contract funding - Year 1 of 3 (2016-2017),-,-,All of Wellington City,-,1/15/2016 12:00:00 AM,1/15/2016 12:00:00 AM,1/15/2016 12:00:00 AM,1/15/2016 12:00:00 AM,-,-,-,-,-,-,-,-,44900,45000,-100,35000,30000,Approved,Monitoring,-,-,-,-,-,-,-,-,-,-,-
2187,Social And Recreation Fund,2015-03-22T12:00:00.000Z,2014,Mt Victoria Residents' Association Inc,Operating grant,-,-,Mt Victoria,-,9/1/2014 12:00:00 AM,8/31/2015 12:00:00 AM,3/10/2015 12:00:00 AM,3/10/2015 12:00:00 AM,-,-,-,-,-,-,-,-,27600,24850,2750,1500,1500,Approved,Monitoring,Strengthen local community,Address local issues,"The association meet at least twice a year and keep minutes of these meetings and have an active membership of 10 or more members, report on how you engage with the community.","Report on finance- how the grant was spent, also provide annual accounts.",-,-,-,-,-,-,-
2188,,,,,,,,,"Made on Marion, where traditional costume making will take place, h...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,Creative Communities Local Funding Scheme,2017-02-27T12:00:00.000Z,2016,Multicultural Council Wellington Inc,Race Relations Day,-,-,Wellington Central,"Shed 6, Wellington.",4/22/2017 12:00:00 AM,4/23/2017 12:00:00 AM,2/23/2017 12:00:00 AM,4/23/2017 12:00:00 AM,-,All,-,-,300,10000,-,-,62885,20141,42744,2000,1000,Approved,Complete,At least 300 participants from across Wellington City communities will participate in the event.,"Approximately 10,000 attendees will attend the event.",Encourage Youth leadership in Multicultural Council of Wellington. Accountability will provide details on actual youth leaders and their development through this event.,-,-,-,-,-,-,-,http://mccwellington.org.nz/
2190,General Grants - Contract Funding,2017-03-30T12:00:00.000Z,2017,Newtown Community & Cultural Centre,Timebank contract funding - Year 2 of 3 (2017-2018),-,-,All of Wellington City,-,1/15/2016 12:00:00 AM,1/15/2016 12:00:00 AM,1/15/2016 12:00:00 AM,1/15/2016 12:00:00 AM,-,-,-,-,-,-,-,-,44900,45000,-100,35000,30450,Approved,Monitoring,-,-,-,-,-,-,-,-,-,-,-
2191,Arts And Culture Fund,2013-07-30T12:00:00.000Z,2013,MIA Mujeres In Aotearoa Incorporated,MIA Latin Festival,-,-,Newtown,"Newtown Park, Wellington",11/10/2013 12:00:00 AM,11/10/2013 12:00:00 AM,-,-,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Koha/donation,5440,2010,3430,3430,2000,Approved,Complete,"Successfully showcase the diversity of Latin American cultures to at least 150 attendees from the Wellington community: people from at least 7 Latin American countries will feature their unique culture through music, dance, arts, crafts and food.",To involve the wider Wellington community through language and play with learning opportunities during the festival.,At least 10 women from the Wellington region that have an affinity with Latin American cultures register at the event as new members of Mujeres in Aotearoa (MIA) and/or register to participate in the DanzaMIA dance group and hablamos espanol.,DanzaMIA group showcase at least 2 of their traditional Latin American dances in traditional costumes,To promote intercultural dialogue by inviting already established community groups to participate and have a vision to work in future projects.,-,-,-,-,-,-
2192,General Grants - Contract Funding,2018-05-30T12:00:00.000Z,2018,Newtown Community & Cultural Centre,Timebank contract funding - Year 3 of 3 (2018-2019),-,-,All of Wellington City,-,1/15/2016 12:00:00 AM,1/15/2016 12:00:00 AM,1/15/2016 12:00:00 AM,1/15/2016 12:00:00 AM,-,-,-,-,-,-,-,-,44900,45000,-100,35000,30000,Approved,For Funding Agreement Acceptance,-,-,-,-,-,-,-,-,-,-,-
2193,Discretionary Funding,2016-06-29T12:00:00.000Z,2015,Multicultural Council Wellington Inc,Support for Diwali event,-,-,"All of Wellington City; Kilbirnie",-,11/8/2015 12:00:00 AM,11/8/2015 12:00:00 AM,10/16/2015 12:00:00 AM,10/16/2015 12:00:00 AM,-,All,All,-,-,-,-,-,500,0,500,500,500,Approved,Complete,This event will bring the people of Greater Wellington together to understand and respect each others' different cultural values.,Cultivate a better understanding of rich heritage and foster a closer relationship between people of both our nations.,"It will highlight how Aotearoa NZ continues to emerge as a kaleidoscope of multicultural, peace and unity",It will raise awareness and help to stop violence towards women.,Collaboration between all the origin units.,-,-,-,-,-,http://mccwellington.org.nz/A+Diwali+Celebration.+East+Meets+West.+A+spectacular+world-class+show.
2194,General Grants,2012-08-30T12:00:00.000Z,2012,MIA Mujeres In Aotearoa Incorporated,MIA Latin Festival,-,-,Newtown,-,11/11/2012 12:00:00 AM,11/11/2012 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,3310,1160,2150,2000,2000,Approved,Complete,"Successfully showcase the diversity of Latin American cultures to at least 100 attendees from the Wellington community: people from at least 4 Latin American countries will feature their unique culture through music, dance, arts, crafts and food.",Participants in the festival experience two mother tongues spoken by people from Latin American backgrounds in a fun environment - learning and using basic phrases via rapid language learning activities at the event - promoting both languages,More than 70% of attendees at the festival rate their experience as “good” to “very good”. (Participants will be requested to register their Email addresses – a short electronic survey will be sent to all participants in the week following the event to,At least 10 women from the Wellington region that have an affinity with Latin American cultures register at the event as new members of Mujeres in Aotearoa (MIA).,-,-,-,-,-,-,-
2195,Betty Campbell Accommodation Assistance (Rental),2015-06-29T12:00:00.000Z,2015,Multicultural Council Wellington Inc,Multicultural Council of Wellington Inc - Year 1 of 3 (2015-2016),-,-,-,-,7/1/2015 12:00:00 AM,6/30/2016 12:00:00 AM,5/20/2015 12:00:00 AM,5/20/2015 12:00:00 AM,-,-,-,-,-,-,-,-,1500,0,1500,1500,1500,Approved,Complete,Creating collaboration amongst wider ethnic communities in Wellington.,Build MCCW membership. Pre-establish MCCW administrative office to coordinate activities.,Purposeful Community Engagement. Capacity Building in emerging communities.,Encourage youth Leadership in MCCW.,Celebrate cultural diversity.,-,-,-,-,-,-
2196,Arts And Culture Fund,2014-07-30T12:00:00.000Z,2014,MIA Mujeres In Aotearoa Incorporated,MIA Latin Festival,-,-,Mt Victoria,"James Cabaret, 5 Hania Street.",10/12/2014 12:00:00 AM,10/12/2014 12:00:00 AM,-,-,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Koha/donation,4793,1760,3033,3033,2000,Approved,Complete,Successfully showcase the diversity of Latin American cultures to at least 300 attendees from the Wellington community.,"People from at least 10 Latin American countries will feature their unique culture through music, dance, arts, crafts and food.",At least 10 women from the Wellington region that have an affinity with Latin American cultures register at the event as new members of Mujeres in Aotearoa (MIA) and/or register to participate in the DanzaMIA dance group.,To promote intercultural dialogue by inviting already established community groups to participate and have a vision to work in future projects.,-,-,-,-,-,-,-
2197,Betty Campbell Accommodation Assistance (Rental),2016-06-29T12:00:00.000Z,2016,Multicultural Council Wellington Inc,Multicultural Council of Wellington Inc - Year 2 of 3 (2016-2017),-,-,-,-,7/1/2015 12:00:00 AM,6/30/2016 12:00:00 AM,5/20/2015 12:00:00 AM,5/20/2015 12:00:00 AM,-,-,-,-,-,-,-,-,1500,0,1500,1500,1500,Approved,Monitoring,Creating collaboration amongst wider ethnic communities in Wellington.,Build MCCW membership. Pre-establish MCCW administrative office to coordinate activities.,Purposeful Community Engagement. Capacity Building in emerging communities.,Encourage youth Leadership in MCCW.,Celebrate cultural diversity.,-,-,-,-,-,-
2198,,,,,,,,,Venue has been confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,General Grants,2013-03-30T12:00:00.000Z,2012,Te Rakau Hua O Te Wao Tapu,Intermediate kapa haka,-,-,All of Wellington City,-,7/1/2013 12:00:00 AM,12/20/2013 12:00:00 AM,-,-,-,Young people,All,children,-,-,-,-,39950,31500,8450,8450,3500,Approved,Complete,participants develop/increase their cultural self-awareness and self esteem,"Engage in supportive relationships with peers and adults in the community (Whanaungatanga, Tuakana-Teina)",Develop pro-social behaviour and communication skills,Improved personal well being,Develop/increase their sense of belonging within their Whanau and Community,-,-,-,-,-,-
2200,Betty Campbell Accommodation Assistance (Rental),2017-06-29T12:00:00.000Z,2017,Multicultural Council Wellington Inc,Multicultural Council of Wellington Inc - Year 3 of 3 (2017-2018),-,-,-,-,7/1/2015 12:00:00 AM,6/30/2016 12:00:00 AM,5/20/2015 12:00:00 AM,5/20/2015 12:00:00 AM,-,-,-,-,-,-,-,-,1500,0,1500,1500,1500,Approved,Monitoring,Creating collaboration amongst wider ethnic communities in Wellington.,Build MCCW membership. Pre-establish MCCW administrative office to coordinate activities.,Purposeful Community Engagement. Capacity Building in emerging communities.,Encourage youth Leadership in MCCW.,Celebrate cultural diversity.,-,-,-,-,-,-
2201,Community Events Sponsorship,2015-06-08T12:00:00.000Z,2015,MIA Mujeres In Aotearoa Incorporated,MIA Latin Festival 2015,-,-,Mt Cook,Riley Centre Hall at Wellington High School,5/31/2015 12:00:00 AM,5/31/2015 12:00:00 AM,10/17/2015 12:00:00 AM,10/17/2015 12:00:00 AM,"Adults (+25 years); Children (under 13 years); Families; Teenagers (13-17 years); Young adults (18-25 years); Seniors",-,All,Latin community in Wellington,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Koha/donation,6200,3700,2500,2500,2500,Approved,Complete,"Successfully showcase the diversity of Latin American cultures to 1,000 attendees from the Wellington community.","People from at least 10 Latin American countries will feature their unique culture through music, dance, arts, crafts and food.",To promote intercultural dialogue by inviting already established community groups to participate and have a vision to work in future projects.,Run a safe and good quality event through a professional level of event management.,-,-,-,-,-,-,http://www.latinfestival.co.nz
2202,Arts And Culture Fund,2016-08-08T12:00:00.000Z,2016,MIA Mujeres In Aotearoa Incorporated,MIA Latin Festival 2016,-,-,Mt Cook,Wellington High School Hall. Venue has been booked and confirmed.,10/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Free to all; Koha/donation",5700,2280,3420,3420,2000,Approved,Complete,"Successfully showcase the diversity of Latin American cultures to at least 1,000 attendees from the Wellington community.","People from at least 10 Latin American countries will feature their unique culture through music, dance, arts, crafts and food.",To promote intercultural dialogue by inviting already established community groups to participate and have a vision to work in future projects.,Run a safe and good quality event through a professional level of event management.,-,-,-,-,-,-,http://festival.mujeres.org.nz/
2203,Wellington Venue Subsidy,2017-06-29T12:00:00.000Z,2016,Multicultural Council Wellington Inc,Race Relations Day,-,Shed 6,-,-,4/22/2017 12:00:00 AM,4/23/2017 12:00:00 AM,4/23/2017 12:00:00 AM,4/23/2017 12:00:00 AM,-,All,All,-,-,10000,-,-,62885,34000,28885,11885,8000,Approved,Monitoring,"The event will start with a walk from the Mac's Brewery, Taranaki St to the Shed 6 and will culminate with a multicultural festival.",This event will fulfil a goal of our Council's strategic plan to support the celebration and integration of all cultures into all aspects of everyday life in Wellington.,"Through such cultural celebrations, the Council successfully brings together a wide range of people and agencies and develops positive ongoing relationships and understand amongst our diverse population that further enables our city to thrives",Acknowledge support from Wellington City Council,-,-,-,-,-,-,http://mccwellington.org.nz/
2204,Social And Recreation Fund,2015-07-13T12:00:00.000Z,2015,Multicultural Council Wellington Inc,Multicultural Council of Wellington Inc,-,-,All of Wellington City,-,7/14/2015 12:00:00 AM,7/13/2016 12:00:00 AM,7/2/2015 12:00:00 AM,7/2/2015 12:00:00 AM,-,All,All,Ethnic groups,-,-,"Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,2500,0,2500,2500,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
